"Statistic","p.value","Trials"
"2.4556291847627","0.051","Trial 1"
"1.17013619845251","0.513","Trial 2"
"1.80524626644084","0.206","Trial 3"
"2.5126723364679","0.048","Trial 4"
"0.60538508484715","0.833","Trial 5"
"1.4007146950238","0.365","Trial 6"
"1.13227229408657","0.528","Trial 7"
"2.179431526749","0.089","Trial 8"
"0.220243843501264","0.974","Trial 9"
"0.664312804003264","0.806","Trial 10"
"0.726211963393938","0.765","Trial 11"
"1.61009899620245","0.276","Trial 12"
"2.3832639061063","0.056","Trial 13"
"1.32861156745273","0.453","Trial 14"
"0.998341253121267","0.625","Trial 15"
"1.80875324068461","0.164","Trial 16"
"1.27829285933981","0.479","Trial 17"
"1.40760171220696","0.371","Trial 18"
"1.02521059653791","0.618","Trial 19"
"1.67188307598539","0.236","Trial 20"
