"Statistic","p.value","Electrode"
"1.22303039975706","0.533","Fp1"
"1.78778346814675","0.191","F3"
"1.62440107644807","0.27","F7"
"0.494786545485926","0.884","FT9"
"0.944464092473533","0.636","FC5"
"0.658295334126862","0.786","FC1"
"0.634454905296141","0.839","C3"
"2.18418118819138","0.09","T7"
"0.31970382351246","0.948","TP9"
"0.627849763691918","0.834","CP5"
"0.712556423573813","0.794","CP1"
"1.68889322269718","0.23","Pz"
"1.41034056613503","0.378","P3"
"0.546864084727157","0.874","P7"
"1.57300033906367","0.297","O1"
"2.11058422532536","0.105","Oz"
"1.8127456518621","0.201","O2"
"0.465880240338121","0.907","P4"
"0.774958817958415","0.752","P8"
"1.35881025339073","0.425","TP10"
"1.06154355832133","0.583","CP6"
"0.541399815118614","0.861","CP2"
"2.32380892227943","0.06","Cz"
"0.908561339143798","0.662","C4"
"1.41149728701037","0.378","T8"
"0.925075091592244","0.691","FT10"
"0.95339410772391","0.657","FC6"
"1.60836596621295","0.282","FC2"
"1.0200180821319","0.599","F4"
"1.10290598960864","0.56","F8"
"1.17457350674517","0.483","Fp2"
