"Statistic","p.value","Trials"
"1.45903296483048","0.357","Trial.1"
"2.51565566371668","0.043","Trial.2"
"0.800376722822547","0.769","Trial.3"
"1.19819924603095","0.485","Trial.4"
"1.16826619520635","0.571","Trial.5"
"2.4570077862769","0.05","Trial.6"
"2.30668529143655","0.063","Trial.7"
"1.6540482680117","0.24","Trial.8"
"0.513757941217959","0.873","Trial.9"
"1.78855263047733","0.191","Trial.10"
"1.00193720428146","0.559","Trial.11"
"1.80038160329076","0.186","Trial.12"
"0.804088711113152","0.74","Trial.13"
"1.45993734869708","0.328","Trial.14"
"1.66815817666184","0.253","Trial.15"
"2.23011213250772","0.074","Trial.16"
"1.21830153258215","0.498","Trial.17"
"2.18182786006891","0.098","Trial.18"
"1.00832405848261","0.588","Trial.19"
"1.09726371915357","0.57","Trial.20"
"0.872423801797757","0.672","NA."
"1.56475545947068","0.27","NA..1"
"1.8338799361424","0.179","NA..2"
"1.92096496397629","0.155","NA..3"
"1.24005707677406","0.389","NA..4"
"1.21764151991329","0.544","NA..5"
"0.347296974108352","0.935","NA..6"
"1.74694790417823","0.245","NA..7"
"1.55766677793008","0.316","NA..8"
"1.19326411968178","0.533","NA..9"
"1.27790965327849","0.464","NA..10"
"0.639384852618683","0.806","NA..11"
"1.8729130408378","0.169","NA..12"
"0.622340795277693","0.831","NA..13"
"2.1197006910622","0.11","NA..14"
"0.901431702143973","0.688","NA..15"
"0.868544542329733","0.672","NA..16"
"1.76616110195516","0.201","NA..17"
"0.739836055569746","0.746","NA..18"
"0.589193426074097","0.826","NA..19"
