"Statistic","p.value","Electrode"
"2.26547445824321","0.081","Fp1"
"1.16277874396881","0.554","F3"
"1.3947561311045","0.388","F7"
"2.17427946652384","0.112","FT9"
"1.74508297212358","0.222","FC5"
"1.17319901246185","0.528","FC1"
"2.07146224901742","0.113","C3"
"1.35387668594565","0.437","T7"
"0.646494888266546","0.81","TP9"
"1.41401456783423","0.391","CP5"
"2.0844870346724","0.108","CP1"
"1.96781763116702","0.176","Pz"
"1.33096990464358","0.437","P3"
"1.36178188971377","0.403","P7"
"1.6229760710228","0.269","O1"
"0.538035164287667","0.881","Oz"
"1.16746790284816","0.505","O2"
"1.18080663807392","0.468","P4"
"1.57659136183868","0.311","P8"
"1.25750688742798","0.474","TP10"
"2.52450977999619","0.038","CP6"
"1.67172663264323","0.263","CP2"
"2.12708154219824","0.12","Cz"
"2.5195612323265","0.054","C4"
"0.977407034740267","0.645","T8"
"1.41989350342319","0.347","FT10"
"1.73162003974933","0.241","FC6"
"2.20411547641786","0.095","FC2"
"1.65155637744611","0.271","F4"
"1.76017325584036","0.211","F8"
"0.589193426074097","0.841","Fp2"
