"Statistic","p.value","Electrode"
"1.46984779525798","0.298","Fp1"
"2.48475730827486","0.052","F3"
"1.04977472496588","0.603","F7"
"1.43904406542997","0.395","FT9"
"1.50722522284865","0.328","FC5"
"0.85218478997265","0.727","FC1"
"1.30745602451685","0.416","C3"
"0.833123703624517","0.748","T7"
"1.68423790406987","0.258","TP9"
"1.47969941705715","0.342","CP5"
"1.9564318152057","0.128","CP1"
"1.00548242810256","0.608","Pz"
"1.3815294679924","0.425","P3"
"0.79426498735262","0.73","P7"
"0.703132100683367","0.797","O1"
"1.26074215230192","0.455","Oz"
"1.92312056422471","0.158","O2"
"1.94135270938834","0.165","P4"
"1.63756270943948","0.285","P8"
"1.76152526158335","0.242","TP10"
"2.00607088410993","0.141","CP6"
"2.90802834726954","0.015","CP2"
"2.07447931233755","0.134","Cz"
"3.02742608024697","0.007","C4"
"2.66553741419556","0.025","T8"
"1.72699140196167","0.218","FT10"
"2.71465496799986","0.022","FC6"
"2.56062176747009","0.028","FC2"
"2.93016623600207","0.013","F4"
"2.47681843752468","0.042","F8"
"1.92108841703744","0.135","Fp2"
